publishedAt,date,source.name,title,description,title_len,description_len,url
2026-05-29 18:21:24+00:00,2026-05-29,Unbiasthenews.com,Show HN: Simple news aggregator with source bias meters,"Article URL: https://unbiasthenews.com
Comments URL: https://news.ycombinator.com/item?id=48327194
Points: 2
# Comments: 0",55,122,https://unbiasthenews.com
2026-05-29 14:22:00+00:00,2026-05-29,London Review of Books,Gangster Politics,"It’s unusual for a defeated candidate in an Irish parliamentary by-election to make headlines outside the country. But Gerry Hutch, whose second bid...",17,151,https://www.lrb.co.uk/blog/2026/may/gangster-politics
2026-05-29 09:43:58+00:00,2026-05-29,Dailymail.com,Is your garden a middle-class cliché? CHARLOTTE VOSSEN reveals the 5 signs - from boasting about your pizza oven to serving your Tesco Finest pasta salad in a nautical bowl,"From scalloped parasols to pizza ovens and fish-themed tablescapes, the modern British garden has become the ultimate middle-class status symbol.",172,145,https://www.dailymail.com/lifestyle/gardening/article-15855655/is-garden-middle-class-cliche.html
2026-05-29 09:13:00+00:00,2026-05-29,GlobeNewswire,Final Sponsorship Opportunities for Sustainability LIVE @ London Climate Action Week,"Final sponsorship opportunities remain for Sustainability LIVE at London Climate Action Week, connecting brands with 250+ senior sustainability leaders...",84,154,https://www.globenewswire.com/news-release/2026/05/29/3303435/0/en/Final-Sponsorship-Opportunities-for-Sustainability-LIVE-London-Climate-Action-Week.html
2026-05-29 09:10:57+00:00,2026-05-29,Eurogamer.net,Mina the Hollower review,"Here is a game that feels like an adventure. And it feels like it was an adventure to make, too. Mina the Hollower took six years to design and build, six years that took it from what sounds like a kind of coding doodle to a panoramic journey across a richly …",24,260,https://www.eurogamer.net/mina-the-hollower-review
2026-05-29 06:23:58+00:00,2026-05-29,CNA,UK grocer Asda taps Ocado to revamp online business,"LONDON, May 29 : British supermarket group Asda has struck a partnership with technology firm Ocado to overhaul its online business across the UK as it seeks to stem market share losses, the companies said on Friday. Asda, majority owned by private equity fir…",51,260,https://www.channelnewsasia.com/business/uk-grocer-asda-taps-ocado-revamp-online-business-6149231
2026-05-29 06:23:58+00:00,2026-05-29,CNA,UK grocer Asda taps Ocado to develop online business,"LONDON, May 29 : British technology group Ocado has agreed a partnership with Asda to develop the supermarket group's online business across the UK and help it reverse a loss of market share, the firms said on Friday.Asda is Britain's third largest grocer but…",52,260,https://www.channelnewsasia.com/business/uk-grocer-asda-taps-ocado-develop-online-business-6149231
2026-05-29 02:44:47+00:00,2026-05-29,Cim.co.uk,100 years of marketing and advertising evolution | CIM,"As the Advertising Association celebrates its centenary, CIM sits down with CEO Stephen Woodford, to explore 100 years of marketing and advertising evolution.",54,158,https://www.cim.co.uk/content-insights/podcasts/navigating-100-years-of-marketing-and-advertising-evolution/
2026-05-28 20:50:00+00:00,2026-05-28,Anfieldindex.com,Liverpool face major decision over the future of €30m-rated star,"Is Curtis Jones Heading to Inter Milan?On the Anfield Index Pro Plus special, host Dave Davis placed Curtis Jones firmly inside Liverpool’s summer transfer conversation, with Inter Milan’s interes...",64,199,https://anfieldindex.com/94567/liverpool-face-major-decision-over-the-future-of-e30m-rated-star.html
2026-05-28 09:57:07+00:00,2026-05-28,RTE,Non-alco beer maker challenging multinationals dominance,More than a hundred food and drink companies will be showcasing their new products and flavours at Bord Bia's Bloom Trade Breakfast tomorrow morning.,56,149,https://www.rte.ie/news/business/2026/0528/1575676-bloom-foof-producers/
