com_num,name,sic_code
16292580,'TECHNILIANCE LTD,70229
16292580,'TECHNILIANCE LTD,71122
07949107,'THE 1ST CAERGWRLE COMPANY OF THE BOYS BRIGADE LIMITED,94910
08195677,'THE BARN' CHILDCARE LIMITED,96090
13933356,'THE BLACK GARDENER' LTD,81300
11554810,'THE BORED COMPANY' LTD,47910
NI684907,'THE CAUSEWAY CRAIC' LTD,99999
12144920,'THE DELIS' LIMITED,56102
12829618,'THE FINAL EDIT' BY WISH UPON A SPARKLE LTD,90030
13616605,'THE GEORGE BTN LTD,56302
08281036,'THE LIGHT' (UK) LTD,55900
08281036,'THE LIGHT' (UK) LTD,85600
08281036,'THE LIGHT' (UK) LTD,88910
08281036,'THE LIGHT' (UK) LTD,93120
17249975,'THE SIGNATURE EVENT' LTD,79909
17249975,'THE SIGNATURE EVENT' LTD,82301
17249975,'THE SIGNATURE EVENT' LTD,82302
17249975,'THE SIGNATURE EVENT' LTD,90020
06663148,'THE WAVE' MANAGEMENT COMPANY LIMITED,68320
06663148,'THE WAVE' MANAGEMENT COMPANY LIMITED,99999
10753807,'THREESTONE DEVELOPMENTS' LIMITED,68100
16630812,'TIL WE DROP LTD,59113
17211473,'TUOMA LTD,86210
13710113,'TWAS THE NIGHT BEFORE LTD,47650
01022904,'V' LINE CARPETS LIMITED,99999
00994704,'VILLA ROSA' (WESTON-SUPER-MARE) MANAGEMENT COMPANY LIMITED,98000
11326215,'WEDDINGBOOKER.COM' LIMITED,90030
07211105,'WERTARBEIT.LONDON' LIMITED,70229
14996480,'WORD OF MOUTH' - PSYCHOTHERAPY FOR EVERYONE LTD,86900
14996480,'WORD OF MOUTH' - PSYCHOTHERAPY FOR EVERYONE LTD,96090
10633682,'YAK' THE HIMALAYAN KITCHEN LTD,56101
10037712,'YOUR HAIR' BY TJ LTD,96020
16846198,( ID ) WORLD LTD,41100
16967949,"( JAPAN ) DUMOSEN AGRICULTURAL CO., LTD",08910
08315563,( THE LION'S DEN (TLD ) LTD.,59200
16426886,((BOUNCE)) BED DIDCOT LTD,93130
01359445,(A) PROPERTY SALES LIMITED,68100
17047181,(A) RIGHT LIMITED,62012
12606821,(A2O) ACORN TO OAK LEADERSHIP AND MANAGEMENT TRAINING SOLUTIONS LIMITED,85590
04873008,(ADAM) COOPER HOMES LIMITED,43390
16753466,(ALWAYS) FOLLOW THE MONEY LTD,58120
16753466,(ALWAYS) FOLLOW THE MONEY LTD,59111
16753466,(ALWAYS) FOLLOW THE MONEY LTD,59112
