com_num,name,sic_code
13305109,20 WOODTHORPE PROPERTIES LTD,68100
13305109,20 WOODTHORPE PROPERTIES LTD,68209
08574160,20 WORDSWORTH AVENUE MANAGEMENT COMPANY LIMITED,68209
12247957,20 WORLDS LIMITED,59111
14446431,20 WORMHOLT ROAD (SPV) LIMITED,68100
10943566,20 WYCOMBE LANE RTM COMPANY LTD,98000
10653432,20 WYNNSTAY ROAD LIMITED,68209
15867789,20 XCLUSIVE TRACK DAYS LTD,94120
03379232,20 YORK ROAD HOVE (RESIDENTS ASSOCIATION) LIMITED,98000
06641279,20 YORK ROAD LIMITED,74990
12462331,20 ZETLAND ROAD MANAGEMENT COMPANY LIMITED,98000
16948277,20&28 LIMITED,56290
16564660,20&UK CONSTRUCTION LTD,41202
16564660,20&UK CONSTRUCTION LTD,43390
14950569,"20, 20A, 20B TALBOT ROAD FREEHOLD LIMITED",98000
01658080,"20, CRASTER ROAD LIMITED",99999
03272117,"20, WILBURY VILLAS, HOVE, FREEHOLDERS LIMITED",98000
13653717,20-06 ECO PROJECTS LTD,41100
10464751,20-20 ACCOUNTS LTD,82990
11334958,20-20 AUDIO WORLDWIDE LTD,59200
07118941,20-20 EVENTS MANAGEMENT LIMITED,96090
11308589,20-20 FOODS LTD,47230
11440613,20-20 GEOSPATIAL LTD,70229
09711834,20-20 MANAGEMENT ENTERPRISE LIMITED,70229
13875547,20-20 MUSIC WORLDWIDE LTD,59200
11590130,20-20 OFF-SITE LIMITED,72190
05448411,20-20 PROJECTS LIMITED,96090
16823360,20-20 PROMOTIONS LIMITED,79120
02695325,20-20 PUBLIC RELATIONS LIMITED,74909
06448962,20-20 RECORDINGS LTD,59200
12489274,20-20 SITE MANAGEMENT LTD,99999
07709729,20-20 SONGWRITING LIMITED,59200
10464773,20-20 STOCKS LTD,82990
02190949,20-20 TECHNOLOGIES LIMITED,62012
02190949,20-20 TECHNOLOGIES LIMITED,70100
08486566,20-21 BARTHOLOMEW SQUARE LIMITED,68209
12137211,20-21 HEOL Y CWM LIMITED,99999
05633920,20-21 MHS LESSEES LIMITED,98000
12133898,20-21 VICTORIA ROAD RTM COMPANY LIMITED,98000
15093656,20-22 BALLS POND ROAD FREEHOLD LIMITED,98000
